dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
286,2.53,Wentworth Gardens Park,"3770 S Wentworth Ave Chicago, IL 60609"
287,4.6,Cooper Park,"1332 W 117th St Chicago, IL 60643"
288,6.41,Golden Gate Park,"500 E 130th St Chicago, IL 60627"
289,6.7,Brown Memorial Park,"644 E 86th St Chicago, IL 60619"
290,0.8,South Lakeview Park,"1300 W Wolfram St Chicago, IL 60657"
291,2.81,Stout Park,"5446 S Greenwood Ave Chicago, IL 60615"
292,0.57,Coleman Park,"900 E 54th Pl Chicago, IL 60615"
293,1.44,Unity Park,"2636 N Kimball Ave Chicago, IL 60647"
294,0.35,Hasan Park,"6855 S Oglesby Ave Chicago, IL 60649"
295,0.53,Baraga Park,"2440 S Leavitt St Chicago, IL 60608"
296,1.38,Dooley Park,"3426 W 77th St Chicago, IL 60652"
299,0.25,Hickory Park,"4834 N Winthrop Ave Chicago, IL 60640"
305,12.56,Le Claire- Hearst Park,"5116 W 44th St Chicago, IL 60638"
306,0.36,Dubkin Park,"7442 N Ashland Blvd Chicago, IL 60626"
307,8.97,Minuteman Park,"5940 S Central Ave Chicago, IL 60638"
308,0.53,Linden Park,"1139 N Pulaski Rd Chicago, IL 60651"
309,18.83,Senka Park,"5656 S St Louis Ave Chicago, IL 60629"
316,0.65,Wood Park,"2914 N Leavitt St Chicago, IL 60618"
320,12.92,Robichaux Park,"9247 S Eggleston Ave Chicago, IL 60620"
321,0.21,Aspen Park,"4237 S Wabash Ave Chicago, IL 60653"
322,0.16,Birch Park,"427 E 45th St Chicago, IL 60653"
323,0.24,Poplar Park,"4046 S Prairie Ave Chicago, IL 60653"
324,0.31,Harsh Park,"4464 S Oakenwald Ave Chicago, IL 60653"
325,0.46,Holly Park,"4052 S Ellis Ave Chicago, IL 60653"
326,0.22,Park 326,"6430 S Kenwood Ave Chicago, IL 60637"
328,0.27,Beehive Park,"6156 S Dorchester Ave Chicago, IL 60637"
329,0.17,Prairie Wolf Park,"6310 S Drexel Ave Chicago, IL 60637"
331,0.33,Flying Squirrel Park,"6600 S Woodlawn Ave Chicago, IL 60637"
332,0.48,Barberry Park,"2827 W Arthington St Chicago, IL 60612"
333,0.24,Magnolia Park,"3228 W Flournoy St Chicago, IL 60624"
334,6.84,King Park,"1212 W 77th St Chicago, IL 60620"
