schema:amenityFeature,schema:description,dcterms:subject,schema:name,schema:identifier,schema:latitude,schema:longitude,schema:alternateName,schema:address,schema:containedInPlace,map_zoom,geometry,schema:geoWithin,dcterms:isPartOf
,,3070,Calumet Park - Playground,Chicago_Park_Facility_371,41.71578136,-87.53005029,,"9801 S Avenue G Chicago, IL 60617",1917,14,"c(455907.625140018, 4618356.25759173)",7354;7219,""
,,,Carmen Park - Playground Park,Chicago_Park_Facility_392,41.97490373,-87.66095357,,"1224 W Carmen Ave Chicago, IL 60640",2386,14,"c(445239.764136122, 4647201.06920258)",7334;7260,""
,,,Carpenter Park - Playground Park,Chicago_Park_Facility_393,41.78167786,-87.65054299,,"6155 S Carpenter St Chicago, IL 60621",2387,14,"c(445939.67693961, 4625741.1229351)",7369;7223,""
,,,Carver Park - Playground 1,Chicago_Park_Facility_402,41.65533447,-87.60000578,,"939 E 132nd St Chicago, IL 60627",2059,14,"c(450041.595921108, 4611683.42306472)",7356;7232,""
,,,Carver Park - Playground 2,Chicago_Park_Facility_403,41.65344039,-87.59713932,,"939 E 132nd St Chicago, IL 60627",2059,14,"c(450278.810916627, 4611471.47956932)",7356;7232,""
,,,Catalpa Park - Playground Park,Chicago_Park_Facility_407,41.81426122,-87.7279433,,"4330 S Kedvale Ave Chicago, IL 60632",2142,14,"c(439538.285262413, 4629410.27816444)",7359;7282,""
,,,Cedar Park - Playground Park,Chicago_Park_Facility_409,41.97866238,-87.65732881,,"5315 N Winthrop Ave Chicago, IL 60640",2495,14,"c(445543.280508808, 4647616.07832468)",7379;7237,""
,,,Central Park - Playground Park,Chicago_Park_Facility_411,41.89440104,-87.71589865,,"721 N Central Park Ave Chicago, IL 60624",2388,14,"c(440612.883010659, 4638299.5570599)",7327;7208,""
,,,Chase Park - Playground,Chicago_Park_Facility_419,41.96727105,-87.66895123,,"4725 N Ashland Av Chicago, IL 60640",1966,14,"c(444570.534795705, 4646358.76291251)",7334;7260,""
,,,Chestnut Park - Playground Park,Chicago_Park_Facility_426,41.76763004,-87.58914327,,"7005 S Dante Ave Chicago, IL 60637",2491,14,"c(451031.349796238, 4624144.68144758)",7342;7263,""
,,,Chicago Women's Park - Playground,Chicago_Park_Facility_19574,41.85765917,-87.6219269,,"1801 S Indiana Ave Chicago, IL 60616",2283,14,"c(448378.753309358, 4634159.43576988)",7337;7271,""
,,,Chippewa Park - Playground,Chicago_Park_Facility_430,42.00448458,-87.70517861,,"6758 N Sacramento Ave Chicago, IL 60645",2000,14,"c(441602.728820945, 4650514.63406411)",7323;7259,""
,,,Chopin Park - Playground,Chicago_Park_Facility_438,41.94279999,-87.7624122,,"3420 N Long Ave Chicago, IL 60641",1991,14,"c(436802.117283698, 4643706.4541057)",7318;7248,""
,,,Christiana Park - Playground Park,Chicago_Park_Facility_447,41.85980419,-87.70882584,,"1533 S Christiana Ave Chicago, IL 60623",2389,14,"c(441167.885332356, 4634453.48694723)",7333;7210,""
,,,Claremont Park - Playground,Chicago_Park_Facility_450,41.87326844,-87.68500849,,"2342 W Flournoy St Chicago, IL 60612",2165,14,"c(443156.650229787, 4635932.33777286)",7332;7250,""
,,,Clarendon Community Center Park - Playground,Chicago_Park_Facility_458,41.9630787,-87.64969682,,"4501 N Clarendon Ave Chicago, IL 60640",2312,14,"c(446162.437927077, 4645881.01322335)",7334;7260,""
