objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2701,1151,SUMMERDALE,Playground Park,OUTDOOR,4129,Summerdale Park,"7262 W Summerdale Ave Chicago, IL 60656",Chicago_Ward_41,Summerdale Park - Playground Park,Chicago_Park_Facility_2701,Chicago_Park_1151,"c(432974.647951117, 4647615.24304184)",7339,7261
2702,451,SUN YAT-SEN,Playground,OUTDOOR,4130,Sun Yat-Sen Park,"300 W 24th Pl Chicago, IL 60616",Chicago_Ward_11,Sun Yat-Sen Park - Playground,Chicago_Park_Facility_2702,Chicago_Park_451,"c(447388.217951822, 4633101.15523266)",7338,7272
2703,1143,SUPERA,Playground Park,OUTDOOR,4131,Supera Park,"2528 N Racine Ave Chicago, IL 60614",Chicago_Ward_43,Supera Park - Playground Park,Chicago_Park_Facility_2703,Chicago_Park_1143,"c(445370.791184456, 4641992.16003629)",7371,7239
2704,1150,SUPERIOR,Playground Park,OUTDOOR,4132,Superior Park,"2101 W Superior St Chicago, IL 60612",Chicago_Ward_1,Superior Park - Playground Park,Chicago_Park_Facility_2704,Chicago_Park_1150,"c(443611.919563185, 4638304.49181692)",7328,7286
2705,430,SWEET CLOVER,Playground Park,OUTDOOR,4133,Sweet Clover Park,"650 N Leamington Ave Chicago, IL 60644",Chicago_Ward_37,Sweet Clover Park - Playground Park,Chicago_Park_Facility_2705,Chicago_Park_430,"c(437397.842712449, 4638156.37974136)",7329,7298
2706,1274,SYCAMORE,Playground,OUTDOOR,4134,Sycamore Park,"5109 S Greenwood Ave Chicago, IL 60615",Chicago_Ward_4,Sycamore Park - Playground,Chicago_Park_Facility_2706,Chicago_Park_1274,"c(450216.288175109, 4627945.61911269)",7311,7278
2723,1025,"TAYLOR-LAURIDSEN (JOHN, EMIL)",Playground,OUTDOOR,4151,Taylor- Lauridsen Park,"647 W Root St Chicago, IL 60609",Chicago_Ward_11,Taylor- Lauridsen Park - Playground,Chicago_Park_Facility_2723,Chicago_Park_1025,"c(446556.161557098, 4629846.14148031)",7362,7222
2725,397,THE GROVE,Playground Park,OUTDOOR,4153,The Grove Park,"8421 S Morgan St Chicago, IL 60620",Chicago_Ward_21,The Grove Park - Playground Park,Chicago_Park_Facility_2725,Chicago_Park_397,"c(446095.373362337, 4621189.31185941)",7373,7274
2729,1159,THROOP (AMOS GAGER),Playground,OUTDOOR,4157,Throop Park,"1811 S Throop St Chicago, IL 60608",Chicago_Ward_25,Throop Park - Playground,Chicago_Park_Facility_2729,Chicago_Park_1159,"c(445339.315173068, 4634159.6385593)",7336,7280
2731,1119,THUIS (GRACE ZWIEFKA),Playground,OUTDOOR,4159,Thuis Park,"4800 N Lavergne Ave Chicago, IL 60630",Chicago_Ward_45,Thuis Park - Playground,Chicago_Park_Facility_2731,Chicago_Park_1119,"c(437662.449653212, 4646464.61048902)",7318,7248
2734,1154,TILL-MOBLEY (MAMIE),Playground,OUTDOOR,4162,Till-Mobley Park,"6410 S Ellis Ave Chicago, IL 60637",Chicago_Ward_20,Till-Mobley Park - Playground,Chicago_Park_Facility_2734,Chicago_Park_1154,"c(450075.157245318, 4625312.320076)",7312,7247
2736,1064,TILTON (GEORGE),Playground,OUTDOOR,4164,Tilton Park,"305 N Kostner Chicago, IL 60624",Chicago_Ward_28,Tilton Park - Playground,Chicago_Park_Facility_2736,Chicago_Park_1064,"c(439026.258151167, 4637350.08501581)",7330,7209
2739,481,TOM (PING) MEML.,Playground,OUTDOOR,4167,Ping Tom Memorial Park,"300 W 18th St Chicago, IL 60616",Chicago_Ward_25,Ping Tom Memorial Park - Playground,Chicago_Park_Facility_2739,Chicago_Park_481,"c(447349.631467685, 4634137.73145986)",7338,7272
2753,1065,"TOUHY-HERBERT (JOHN, VICTOR)",Playground,OUTDOOR,4181,Touhy- Herbert Park,"2106 W Adams St Chicago, IL 60612",Chicago_Ward_27,Touhy- Herbert Park - Playground,Chicago_Park_Facility_2753,Chicago_Park_1065,"c(443631.566876373, 4636591.60311288)",7332,7206
2746,246,TOUHY (PATRICK),Playground,OUTDOOR,4174,Touhy Park,"7348 N Paulina St Chicago, IL 60626",Chicago_Ward_49,Touhy Park - Playground,Chicago_Park_Facility_2746,Chicago_Park_246,"c(444297.81711383, 4651731.6372077)",7313,7252
2767,16,TRUMBULL (LYMAN),Playground,OUTDOOR,4195,Trumbull Park,"2400 E 105th St Chicago, IL 60617",Chicago_Ward_7,Trumbull Park - Playground,Chicago_Park_Facility_2767,Chicago_Park_16,"c(453101.645017272, 4617261.65279681)",7353,7268
2783,18,TULEY (MURRAY),Playground,OUTDOOR,4211,Tuley Park,"501 E 90th Pl Chicago, IL 60619",Chicago_Ward_9,Tuley Park - Playground,Chicago_Park_Facility_2783,Chicago_Park_18,"c(449173.16893659, 4619931.20213469)",7343,7264
2808,210,UNION,Playground,OUTDOOR,4236,Union Park,"1501 W Randolph St Chicago, IL 60607",Chicago_Ward_27,Union Park - Playground,Chicago_Park_Facility_2808,Chicago_Park_210,"c(444828.860043344, 4637195.07222988)",7332,7244
2813,293,UNITY,Playground,OUTDOOR,4241,Unity Park,"2636 N Kimball Ave Chicago, IL 60647",Chicago_Ward_35,Unity Park - Playground,Chicago_Park_Facility_2813,Chicago_Park_293,"c(440918.015005543, 4642207.97537398)",7326,7217
2821,371,VALLEY FORGE,Playground,OUTDOOR,4249,Valley Forge Park,"7001 W 59th St Chicago, IL 60638",Chicago_Ward_0,Valley Forge Park - Playground,Chicago_Park_Facility_2821,Chicago_Park_371,"c(433803.488728078, 4626161.04251823)",7365,7290
2830,1067,VETERANS' MEMORIAL,Playground,OUTDOOR,4258,Veterans' Memorial Park,"2820 E 98th St Chicago, IL 60617",Chicago_Ward_10,Veterans' Memorial Park - Playground,Chicago_Park_Facility_2830,Chicago_Park_1067,"c(453767.091560305, 4618558.04937777)",7353,7268
2833,361,VIOLET,Playground,OUTDOOR,4261,Violet Park,"4120 W Taylor St Chicago, IL 60624",Chicago_Ward_24,Violet Park - Playground,Chicago_Park_Facility_2833,Chicago_Park_361,"c(439524.409984505, 4635524.92387189)",7330,7209
