schema:longitude,schema:latitude,schema:address,schema:name,schema:identifier,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17
-87.76920057415778,41.9122848781119,"5729 W Bloomingdale Ave Chicago, IL 60639",Galewood Park - Playground,Chicago_Park_Facility_883,1897,Ward 29,1985,Galewood Park
-87.71194361485117,41.88130340906728,"100 N Central Park Dr Chicago, IL 60624",Garfield Park - Playground 1,Chicago_Park_Facility_906,1896,Ward 28,2016,Garfield Park
-87.71150650018359,41.8839756113643,"100 N Central Park Dr Chicago, IL 60624",Garfield Park - Playground 2,Chicago_Park_Facility_907,1896,Ward 28,2016,Garfield Park
-87.66507218471553,41.87194915095311,"1520 W Polk St Chicago, IL 60607",Garibaldi Park - Playground,Chicago_Park_Facility_917,1896,Ward 28,2353,Garibaldi Park
-87.60599407786977,41.707748535967156,"810 E 103rd St Chicago, IL 60628",Gately Park - Playground,Chicago_Park_Facility_926,1907,Ward 8,2050,Gately Park
-87.65001732262444,41.95253618144557,"825 W Sheridan Rd Chicago, IL 60613",Gill Park - Playground,Chicago_Park_Facility_932,1860,Ward 46,2136,Gill Park
-87.71201972196279,41.860982334416946,"3432 W 15th St Chicago, IL 60623",Ginkgo Park - Playground Park,Chicago_Park_Facility_933,1864,Ward 24,2124,Ginkgo Park
-87.7730248938284,41.97957134265036,"5421 N Menard Ave Chicago, IL 60630",Gladstone Park - Playground,Chicago_Park_Facility_936,1886,Ward 45,1962,Gladstone Park
-87.70869521399466,41.87594139292866,"3307 W Gladys Ave Chicago, IL 60624",Gladys Park - Playground,Chicago_Park_Facility_939,1896,Ward 28,2398,Gladys Park
-87.66565973641491,42.01066243834907,"7053 N Glenwood Ave Chicago, IL 60626",Goldberg Park - Playground Park,Chicago_Park_Facility_941,1876,Ward 49,2149,Goldberg Park
