schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.77635632136997,41.91915087341189,"2133 N Mcvicker Ave Chicago, IL 60639",Aiello Park - Playground Park,1892,Ward 36,2496,Aiello Park,Chicago_Park_Facility_37
-87.69491846558707,41.93520242499389,"2941 N Washtenaw Ave Chicago, IL 60618",Algonquin Park - Playground Park,1858,Ward 33,2439,Algonquin Park,Chicago_Park_Facility_38
-87.6922722091616,41.87431722853972,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Artificial Turf Field,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_40
-87.69193201233455,41.874653079923156,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Baseball Jr/Softball,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_43
-87.69274617154193,41.87462062006561,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Baseball Sr,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_47
-87.6930665448117,41.87416072449004,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Basketball Backboard 1,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_3218
-87.69307036949107,41.87428842969553,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Basketball Backboard 2,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_3219
-87.69306266085657,41.87422459294623,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Basketball Court,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_39
-87.69333424302373,41.87442076530725,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Fitness Center,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_41
-87.6932805935865,41.87431831254986,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Gymnasium,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_42
-87.69331479977535,41.874695485607106,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Playground,1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_46
-87.6933679271584,41.874022772911566,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Pool (Outdoor),1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_45
-87.7802263590054,41.913956295519625,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Baseball Jr/Softball 1,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_50
-87.77917295859017,41.91444869022165,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Baseball Jr/Softball 2,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_51
-87.77740526425394,41.914387316539454,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Baseball Jr/Softball 3,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_52
-87.77738588050975,41.91322498455412,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Baseball Jr/Softball 4,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_53
-87.77889360926446,41.91335554151993,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Baseball Sr,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_56
-87.7802511463497,41.913377056410646,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Fitness Center,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_49
-87.77823864644755,41.913955030126125,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Football/Soccer Combo Fld,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_48
-87.7795473584138,41.91341152538692,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Playground,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_54
-87.7794481549066,41.91329658423375,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Spray Feature,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_55
-87.62522846051579,41.85958287479299,"1629 S Wabash Chicago, IL 60616",Anderson (Fred) Park - Dog Friendly Area,1861,Ward 3,2294,Anderson (Fred) Park,Chicago_Park_Facility_12854
-87.62090609810207,41.82577982555887,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 1,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3220
-87.62082716178847,41.8258697543421,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 2,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3221
-87.62098621093004,41.82587074083147,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 3,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3222
-87.62091365031357,41.82595951895209,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 4,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3223
-87.62091337333811,41.82598450190673,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 5,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3224
