schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
0.57,Park 556,"2529 W Logan Blvd Chicago, IL 60647",Chicago_Park_556,1893,Ward 1
2.02,North Boundary Park,"7211-7355 N Kedzie Ave Chicago, IL 60645",Chicago_Park_557,1889,Ward 50
0.56,King- Lockhart Park,"10609-15 S Western Ave Chicago, IL 60643",Chicago_Park_558,1885,Ward 19
0.61,Park 559,"6151 N Sheridan Rd Chicago, IL 60660",Chicago_Park_559,1872,Ward 48
1.67,White (Jesse) Park,"410 W Chicago Ave Chicago, IL 60654",Chicago_Park_560,1905,Ward 27
1.08,Anderson (Fred) Park,"1629 S Wabash Chicago, IL 60616",Chicago_Park_561,1861,Ward 3
141.39,Byrnes Park,"1735-37 E 96th St Chicago, IL 60643",Chicago_Park_562,NA,NA
130.45,Hegewisch Marsh Park,"13000 S Torrence Ave Chicago, IL 60633",Chicago_Park_563,1891,Ward 10
295.29,Big Marsh Park,"11555 S Stony Island Ave Chicago, IL 60617",Chicago_Park_564,1891,Ward 10
70.3,Park 566,"7901 S Farragut Chicago, IL 60617",Chicago_Park_566,NA,NA
0.33,Park 567,"1799 N Milwaukee Ave Chicago, IL 60647",Chicago_Park_567,1887,Ward 32
23.68,Park 568,"5601 N Western Ave Chicago, IL 60659",Chicago_Park_568,1906,Ward 40
0.4,Park 569,"1358 W Monroe St Chicago, IL 60607",Chicago_Park_569,1905,Ward 27
0.53,Donahue Park,"1230 W School St Chicago, IL 60657",Chicago_Park_570,1868,Ward 44
4.41,Park 571,"2754-2860 S Eleanor St Chicago, IL 60608",Chicago_Park_571,1881,Ward 11
2.36,Park 573,"701 E 114th St Chicago, IL 60628",Chicago_Park_573,1870,Ward 9
2.21,Park 574,"2540 W Jackson Blvd Chicago, IL 60612",Chicago_Park_574,1905,Ward 27
144.94,Park 576,"2100 E 134th St Chicago, IL 60633",Chicago_Park_576,1891,Ward 10
2.63,Morgan Park Sports Ctr,"11505 S. Western Av Chicago, IL 60643",Chicago_Park_577,1885,Ward 19
1.757,Park 578,"1919 W Maypole Ave Chicago, IL 60612",Chicago_Park_578,1905,Ward 27
7.02,Park 580,"4030 N Oak Park Ave Chicago, IL 60634",Chicago_Park_580,1877,Ward 38
7.4,Park 581,"11625 S Oakley Ave Chicago, IL 60643",Chicago_Park_581,1885,Ward 19
109.13,Rainbow Beach Park,"2873 E 75th St Chicago, IL 60649",Chicago_Park_1001,1883,Ward 7
12.78,Clarendon Community Center Park,"4501 N Clarendon Ave Chicago, IL 60640",Chicago_Park_1002,1860,Ward 46
1.27,Beilfuss Park,"1725 N Springfield Ave Chicago, IL 60647",Chicago_Park_1003,1867,Ward 26
4.24,Bradley Park,"9729 S Yates Ave Chicago, IL 60617",Chicago_Park_1004,1891,Ward 10
2.96,Block Park,"346 W 104th St Chicago, IL 60628",Chicago_Park_1005,1859,Ward 34
1.51,Commercial Club Park,"1845 W Rice St Chicago, IL 60622",Chicago_Park_1006,1893,Ward 1
4.36,Hermitage Park,"5839 S Wood St Chicago, IL 60636",Chicago_Park_1008,1904,Ward 15
7.08,Kenwood Comm. Park,"1330 E 50th St Chicago, IL 60615",Chicago_Park_1010,1882,Ward 4
4.82,Lawler Park,"5210 W 64th St Chicago, IL 60638",Chicago_Park_1011,1869,Ward 13
9.19,O'Hallaren Park,"8335 S Honore St Chicago, IL 60620",Chicago_Park_1012,1878,Ward 21
2.74,Leone Beach Park,"1222 W Touhy Ave Chicago, IL 60626",Chicago_Park_1013,1876,Ward 49
6.4,Sherwood Park,"5705 S Shields Ave Chicago, IL 60621",Chicago_Park_1014,1884,Ward 20
10.53,Smith (Joseph Higgins) Park,"2526 W Grand Ave Chicago, IL 60612",Chicago_Park_1015,1867,Ward 26
4.35,Strohacker Park,"4347 W 54th St Chicago, IL 60632",Chicago_Park_1016,1862,Ward 23
1.85,Trebes Park,"2250 N Clifton Ave Chicago, IL 60614",Chicago_Park_1017,1898,Ward 43
