schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.77835685833746,41.78101449582147,"6140 S Melvina Ave Chicago, IL 60638",Hale Park - Water Playground,1869,Ward 13,2040,Hale Park,Chicago_Park_Facility_1062
-87.6359054976673,41.761924615184846,"513 W 72nd St Chicago, IL 60621",Hamilton Park - Pool (Outdoor),1902,Ward 6,1915,Hamilton Park,Chicago_Park_Facility_1072
-87.63660514607702,41.76312824964004,"513 W 72nd St Chicago, IL 60621",Hamilton Park - Spray Feature,1902,Ward 6,1915,Hamilton Park,Chicago_Park_Facility_1074
-87.68022837813001,41.93736144738786,"3035 N Hoyne Ave Chicago, IL 60618",Hamlin Park - Pool (Outdoor),1887,Ward 32,1969,Hamlin Park,Chicago_Park_Facility_1093
-87.60502579205311,41.78187183230208,"6200 S Drexel Ave Chicago, IL 60637",Harris (Harriet) Park - Pool (Indoor),1884,Ward 20,2259,Harris (Harriet) Park,Chicago_Park_Facility_1106
-87.63986646345971,41.77211471569092,"6701 S Lowe Ave Chicago, IL 60621",Harris (Ryan) Memorial Park - Spray Feature,NA,NA,2467,Harris (Ryan) Memorial Park,Chicago_Park_Facility_1109
-87.67223207469408,41.85679495419466,"1824 S Wood St Chicago, IL 60608",Harrison Park - Pool (Indoor) 1,1873,Ward 25,2025,Harrison Park,Chicago_Park_Facility_1116
-87.59550519058782,41.81395596484387,"4464 S Oakenwald Ave Chicago, IL 60653",Harsh Park - Spray Feature,1882,Ward 4,2107,Harsh Park,Chicago_Park_Facility_1129
-87.65674341273439,42.00238439693291,"1040 W Albion Ave Chicago, IL 60626",Hartigan Beach Park - Beach,1876,Ward 49,2474,Hartigan Beach Park,Chicago_Park_Facility_1130
-87.69732977103203,41.739024629700424,"2936 W 85th St Chicago, IL 60652",Hayes Park - Pool (Indoor),1875,Ward 18,2048,Hayes Park,Chicago_Park_Facility_1137
-87.69587208356342,41.74196656105788,"2936 W 85th St Chicago, IL 60652",Hayes Park - Spray Feature,1875,Ward 18,2048,Hayes Park,Chicago_Park_Facility_1143
-87.66869301224517,41.78689225048245,"5839 S Wood St Chicago, IL 60636",Hermitage Park - Spray Feature,1904,Ward 15,2317,Hermitage Park,Chicago_Park_Facility_1152
-87.73948819629696,41.92244670541852,"2240 N Kilbourn Ave Chicago, IL 60639",Hermosa Park - Spray Feature,1892,Ward 36,1980,Hermosa Park,Chicago_Park_Facility_1158
-87.82870557319735,41.94325490155655,"8029 W Forest Preserve Ave Chicago, IL 60634",Hiawatha Park - Spray Feature,1877,Ward 38,2035,Hiawatha Park,Chicago_Park_Facility_1168
-87.59903135083603,41.76365095610565,"7221 S Dobson Ave Chicago, IL 60619",Hoard Park - Spray Feature,1866,Ward 5,2152,Hoard Park,Chicago_Park_Facility_1180
-87.60324808038456,41.820554719770556,"4052 S Ellis Ave Chicago, IL 60653",Holly Park - Spray Feature,1882,Ward 4,2108,Holly Park,Chicago_Park_Facility_1182
-87.7111658226867,41.98890841427951,"3312 W Thorndale Ave Chicago, IL 60659",Hollywood Park - Spray Feature,1899,Ward 39,1952,Hollywood Park,Chicago_Park_Facility_1187
